model,model_short,method,mode,accuracy,macro_f1,n,tn,fp,fn,tp,mean_confidence,mean_conf_correct,mean_conf_wrong,stage_counts
google/gemma-7b-it,gemma-7b-it,reprompting,with_subjects,0.6164167324388319,0.5837375884223506,1267,213,340,146,568,0.9793054156946142,0.9828816462087365,0.9735584279754161,"{'reprompt_base': 1196, 'reprompt_subject': 71}"
google/gemma-7b-it,gemma-7b-it,reprompting,no_subjects,0.6140489344909235,0.5911255212702,1267,239,314,175,539,0.9785248059265428,0.9804510942530924,0.9754600772597656,"{'reprompt_base': 1187, 'reprompt_subject': 80}"
google/gemma-7b-it,gemma-7b-it,baseline,no_subjects,0.6124704025256511,0.5838996966687067,1267,222,331,160,554,0.9608990281663546,0.9659199863665757,0.952963664493504,{'base': 1267}
google/gemma-7b-it,gemma-7b-it,baseline,with_subjects,0.6124704025256511,0.5838996966687067,1267,222,331,160,554,0.9608990281663546,0.9659199863665757,0.952963664493504,{'base': 1267}
google/gemma-7b-it,gemma-7b-it,self_consistency,no_subjects,0.6085240726124704,0.5837669425516356,1267,231,322,174,540,0.9325631871610937,0.9446605528069041,0.9137586127398865,{'self_consistency': 1267}
google/gemma-7b-it,gemma-7b-it,self_consistency,with_subjects,0.6029992107340174,0.5790850579723067,1267,231,322,181,533,0.9319144981922525,0.9463892895411933,0.9099289304177216,{'self_consistency': 1267}
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,self_consistency,with_subjects,0.5406471981057617,0.5290287720158806,1267,442,111,471,243,0.9054680757732484,0.9100496180455182,0.9000757107277082,{'self_consistency': 1267}
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,self_consistency,no_subjects,0.5382794001578532,0.5264804135210814,1267,441,112,473,241,0.9056721524780021,0.9114339649187418,0.8989549625898257,{'self_consistency': 1267}
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,baseline,no_subjects,0.5288082083662194,0.5141599690151321,1267,445,108,489,225,0.8278783196611016,0.8402368567122235,0.8140086047126075,{'base': 1267}
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,baseline,with_subjects,0.5288082083662194,0.5141599690151321,1267,445,108,489,225,0.8278783196611016,0.8402368567122235,0.8140086047126075,{'base': 1267}
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,reprompting,with_subjects,0.526440410418311,0.5095686371659492,1267,451,102,498,216,0.8820585805954835,0.8950880517113617,0.8675741518716646,"{'reprompt_base': 852, 'reprompt_subject': 415}"
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,reprompting,no_subjects,0.5019731649565904,0.4633262378926071,1267,488,65,566,148,0.8616907406425791,0.8797673371295848,0.8434709064655035,"{'reprompt_base': 888, 'reprompt_subject': 379}"
